"codigo_departamento","departamento","codigo_municipio","municipio","ano","area","total"
"05","Antioquia","Medellín","05001",2014,"cabecera_municipal",2248191
"05","Antioquia","Medellín","05001",2014,"centros_poblados_y_rural_disperso",45410
"05","Antioquia","Medellín","05001",2014,"total",2293601
"05","Antioquia","Abejorral","05002",2014,"cabecera_municipal",7473
"05","Antioquia","Abejorral","05002",2014,"centros_poblados_y_rural_disperso",13469
"05","Antioquia","Abejorral","05002",2014,"total",20942
"05","Antioquia","Abriaquí","05004",2014,"cabecera_municipal",766
"05","Antioquia","Abriaquí","05004",2014,"centros_poblados_y_rural_disperso",1895
"05","Antioquia","Abriaquí","05004",2014,"total",2661
"05","Antioquia","Alejandría","05021",2014,"cabecera_municipal",2387
"05","Antioquia","Alejandría","05021",2014,"centros_poblados_y_rural_disperso",2287
"05","Antioquia","Alejandría","05021",2014,"total",4674
"05","Antioquia","Amagá","05030",2014,"cabecera_municipal",13331
"05","Antioquia","Amagá","05030",2014,"centros_poblados_y_rural_disperso",15557
"05","Antioquia","Amagá","05030",2014,"total",28888
"05","Antioquia","Amalfi","05031",2014,"cabecera_municipal",13454
"05","Antioquia","Amalfi","05031",2014,"centros_poblados_y_rural_disperso",11299
"05","Antioquia","Amalfi","05031",2014,"total",24753
"05","Antioquia","Andes","05034",2014,"cabecera_municipal",19317
"05","Antioquia","Andes","05034",2014,"centros_poblados_y_rural_disperso",23076
"05","Antioquia","Andes","05034",2014,"total",42393
"05","Antioquia","Angelópolis","05036",2014,"cabecera_municipal",2080
"05","Antioquia","Angelópolis","05036",2014,"centros_poblados_y_rural_disperso",3705
"05","Antioquia","Angelópolis","05036",2014,"total",5785
"05","Antioquia","Angostura","05038",2014,"cabecera_municipal",2569
"05","Antioquia","Angostura","05038",2014,"centros_poblados_y_rural_disperso",9017
"05","Antioquia","Angostura","05038",2014,"total",11586
"05","Antioquia","Anorí","05040",2014,"cabecera_municipal",6945
"05","Antioquia","Anorí","05040",2014,"centros_poblados_y_rural_disperso",10438
"05","Antioquia","Anorí","05040",2014,"total",17383
"05","Antioquia","Santafé de Antioquia","05042",2014,"cabecera_municipal",15221
"05","Antioquia","Santafé de Antioquia","05042",2014,"centros_poblados_y_rural_disperso",9854
"05","Antioquia","Santafé de Antioquia","05042",2014,"total",25075
"05","Antioquia","Anzá","05044",2014,"cabecera_municipal",1187
"05","Antioquia","Anzá","05044",2014,"centros_poblados_y_rural_disperso",5718
"05","Antioquia","Anzá","05044",2014,"total",6905
"05","Antioquia","Apartadó","05045",2014,"cabecera_municipal",89401
"05","Antioquia","Apartadó","05045",2014,"centros_poblados_y_rural_disperso",21687
"05","Antioquia","Apartadó","05045",2014,"total",111088
"05","Antioquia","Arboletes","05051",2014,"cabecera_municipal",9274
"05","Antioquia","Arboletes","05051",2014,"centros_poblados_y_rural_disperso",19639
"05","Antioquia","Arboletes","05051",2014,"total",28913
"05","Antioquia","Argelia","05055",2014,"cabecera_municipal",3298
"05","Antioquia","Argelia","05055",2014,"centros_poblados_y_rural_disperso",4940
"05","Antioquia","Argelia","05055",2014,"total",8238
"05","Antioquia","Armenia","05059",2014,"cabecera_municipal",1707
"05","Antioquia","Armenia","05059",2014,"centros_poblados_y_rural_disperso",3680
"05","Antioquia","Armenia","05059",2014,"total",5387
"05","Antioquia","Barbosa","05079",2014,"cabecera_municipal",20526
"05","Antioquia","Barbosa","05079",2014,"centros_poblados_y_rural_disperso",28343
"05","Antioquia","Barbosa","05079",2014,"total",48869
"05","Antioquia","Belmira","05086",2014,"cabecera_municipal",1563
"05","Antioquia","Belmira","05086",2014,"centros_poblados_y_rural_disperso",4362
"05","Antioquia","Belmira","05086",2014,"total",5925
"05","Antioquia","Bello","05088",2014,"cabecera_municipal",456811
"05","Antioquia","Bello","05088",2014,"centros_poblados_y_rural_disperso",24225
"05","Antioquia","Bello","05088",2014,"total",481036
"05","Antioquia","Betania","05091",2014,"cabecera_municipal",3619
"05","Antioquia","Betania","05091",2014,"centros_poblados_y_rural_disperso",7013
"05","Antioquia","Betania","05091",2014,"total",10632
"05","Antioquia","Betulia","05093",2014,"cabecera_municipal",4161
"05","Antioquia","Betulia","05093",2014,"centros_poblados_y_rural_disperso",11282
"05","Antioquia","Betulia","05093",2014,"total",15443
"05","Antioquia","Ciudad Bolívar","05101",2014,"cabecera_municipal",15224
"05","Antioquia","Ciudad Bolívar","05101",2014,"centros_poblados_y_rural_disperso",10961
"05","Antioquia","Ciudad Bolívar","05101",2014,"total",26185
"05","Antioquia","Briceño","05107",2014,"cabecera_municipal",2377
"05","Antioquia","Briceño","05107",2014,"centros_poblados_y_rural_disperso",5758
"05","Antioquia","Briceño","05107",2014,"total",8135
"05","Antioquia","Buriticá","05113",2014,"cabecera_municipal",2094
"05","Antioquia","Buriticá","05113",2014,"centros_poblados_y_rural_disperso",6940
"05","Antioquia","Buriticá","05113",2014,"total",9034
"05","Antioquia","Cáceres","05120",2014,"cabecera_municipal",4927
"05","Antioquia","Cáceres","05120",2014,"centros_poblados_y_rural_disperso",22576
"05","Antioquia","Cáceres","05120",2014,"total",27503
"05","Antioquia","Caicedo","05125",2014,"cabecera_municipal",1552
"05","Antioquia","Caicedo","05125",2014,"centros_poblados_y_rural_disperso",6548
"05","Antioquia","Caicedo","05125",2014,"total",8100
"05","Antioquia","Caldas","05129",2014,"cabecera_municipal",59251
"05","Antioquia","Caldas","05129",2014,"centros_poblados_y_rural_disperso",15278
"05","Antioquia","Caldas","05129",2014,"total",74529
"05","Antioquia","Campamento","05134",2014,"cabecera_municipal",2361
"05","Antioquia","Campamento","05134",2014,"centros_poblados_y_rural_disperso",6960
"05","Antioquia","Campamento","05134",2014,"total",9321
"05","Antioquia","Cañasgordas","05138",2014,"cabecera_municipal",5007
"05","Antioquia","Cañasgordas","05138",2014,"centros_poblados_y_rural_disperso",10902
"05","Antioquia","Cañasgordas","05138",2014,"total",15909
"05","Antioquia","Caracolí","05142",2014,"cabecera_municipal",2762
"05","Antioquia","Caracolí","05142",2014,"centros_poblados_y_rural_disperso",2014
"05","Antioquia","Caracolí","05142",2014,"total",4776
"05","Antioquia","Caramanta","05145",2014,"cabecera_municipal",2268
"05","Antioquia","Caramanta","05145",2014,"centros_poblados_y_rural_disperso",2859
"05","Antioquia","Caramanta","05145",2014,"total",5127
"05","Antioquia","Carepa","05147",2014,"cabecera_municipal",29226
"05","Antioquia","Carepa","05147",2014,"centros_poblados_y_rural_disperso",14143
"05","Antioquia","Carepa","05147",2014,"total",43369
"05","Antioquia","El Carmen de Viboral","05148",2014,"cabecera_municipal",31319
"05","Antioquia","El Carmen de Viboral","05148",2014,"centros_poblados_y_rural_disperso",24145
"05","Antioquia","El Carmen de Viboral","05148",2014,"total",55464
"05","Antioquia","Carolina","05150",2014,"cabecera_municipal",2920
"05","Antioquia","Carolina","05150",2014,"centros_poblados_y_rural_disperso",1010
"05","Antioquia","Carolina","05150",2014,"total",3930
"05","Antioquia","Caucasia","05154",2014,"cabecera_municipal",69888
"05","Antioquia","Caucasia","05154",2014,"centros_poblados_y_rural_disperso",13584
"05","Antioquia","Caucasia","05154",2014,"total",83472
"05","Antioquia","Chigorodó","05172",2014,"cabecera_municipal",42868
"05","Antioquia","Chigorodó","05172",2014,"centros_poblados_y_rural_disperso",10009
"05","Antioquia","Chigorodó","05172",2014,"total",52877
"05","Antioquia","Cisneros","05190",2014,"cabecera_municipal",8200
"05","Antioquia","Cisneros","05190",2014,"centros_poblados_y_rural_disperso",1418
"05","Antioquia","Cisneros","05190",2014,"total",9618
"05","Antioquia","Cocorná","05197",2014,"cabecera_municipal",5983
"05","Antioquia","Cocorná","05197",2014,"centros_poblados_y_rural_disperso",10451
"05","Antioquia","Cocorná","05197",2014,"total",16434
"05","Antioquia","Concepción","05206",2014,"cabecera_municipal",1769
"05","Antioquia","Concepción","05206",2014,"centros_poblados_y_rural_disperso",3150
"05","Antioquia","Concepción","05206",2014,"total",4919
"05","Antioquia","Concordia","05209",2014,"cabecera_municipal",7233
"05","Antioquia","Concordia","05209",2014,"centros_poblados_y_rural_disperso",13951
"05","Antioquia","Concordia","05209",2014,"total",21184
"05","Antioquia","Copacabana","05212",2014,"cabecera_municipal",57622
"05","Antioquia","Copacabana","05212",2014,"centros_poblados_y_rural_disperso",15179
"05","Antioquia","Copacabana","05212",2014,"total",72801
"05","Antioquia","Dabeiba","05234",2014,"cabecera_municipal",8699
"05","Antioquia","Dabeiba","05234",2014,"centros_poblados_y_rural_disperso",13871
"05","Antioquia","Dabeiba","05234",2014,"total",22570
"05","Antioquia","Donmatías","05237",2014,"cabecera_municipal",11150
"05","Antioquia","Donmatías","05237",2014,"centros_poblados_y_rural_disperso",6766
"05","Antioquia","Donmatías","05237",2014,"total",17916
"05","Antioquia","Ebéjico","05240",2014,"cabecera_municipal",2165
"05","Antioquia","Ebéjico","05240",2014,"centros_poblados_y_rural_disperso",10296
"05","Antioquia","Ebéjico","05240",2014,"total",12461
"05","Antioquia","El Bagre","05250",2014,"cabecera_municipal",30100
"05","Antioquia","El Bagre","05250",2014,"centros_poblados_y_rural_disperso",17461
"05","Antioquia","El Bagre","05250",2014,"total",47561
"05","Antioquia","Entrerríos","05264",2014,"cabecera_municipal",5180
"05","Antioquia","Entrerríos","05264",2014,"centros_poblados_y_rural_disperso",5285
"05","Antioquia","Entrerríos","05264",2014,"total",10465
"05","Antioquia","Envigado","05266",2014,"cabecera_municipal",198432
"05","Antioquia","Envigado","05266",2014,"centros_poblados_y_rural_disperso",12160
"05","Antioquia","Envigado","05266",2014,"total",210592
"05","Antioquia","Fredonia","05282",2014,"cabecera_municipal",8004
"05","Antioquia","Fredonia","05282",2014,"centros_poblados_y_rural_disperso",16109
"05","Antioquia","Fredonia","05282",2014,"total",24113
"05","Antioquia","Frontino","05284",2014,"cabecera_municipal",8335
"05","Antioquia","Frontino","05284",2014,"centros_poblados_y_rural_disperso",12812
"05","Antioquia","Frontino","05284",2014,"total",21147
"05","Antioquia","Giraldo","05306",2014,"cabecera_municipal",1895
"05","Antioquia","Giraldo","05306",2014,"centros_poblados_y_rural_disperso",3431
"05","Antioquia","Giraldo","05306",2014,"total",5326
"05","Antioquia","Girardota","05308",2014,"cabecera_municipal",26384
"05","Antioquia","Girardota","05308",2014,"centros_poblados_y_rural_disperso",21593
"05","Antioquia","Girardota","05308",2014,"total",47977
"05","Antioquia","Gómez Plata","05310",2014,"cabecera_municipal",4795
"05","Antioquia","Gómez Plata","05310",2014,"centros_poblados_y_rural_disperso",4901
"05","Antioquia","Gómez Plata","05310",2014,"total",9696
"05","Antioquia","Granada","05313",2014,"cabecera_municipal",5494
"05","Antioquia","Granada","05313",2014,"centros_poblados_y_rural_disperso",5731
"05","Antioquia","Granada","05313",2014,"total",11225
"05","Antioquia","Guadalupe","05315",2014,"cabecera_municipal",2117
"05","Antioquia","Guadalupe","05315",2014,"centros_poblados_y_rural_disperso",4363
"05","Antioquia","Guadalupe","05315",2014,"total",6480
"05","Antioquia","Guarne","05318",2014,"cabecera_municipal",16695
"05","Antioquia","Guarne","05318",2014,"centros_poblados_y_rural_disperso",34297
"05","Antioquia","Guarne","05318",2014,"total",50992
"05","Antioquia","Guatapé","05321",2014,"cabecera_municipal",5012
"05","Antioquia","Guatapé","05321",2014,"centros_poblados_y_rural_disperso",2795
"05","Antioquia","Guatapé","05321",2014,"total",7807
"05","Antioquia","Heliconia","05347",2014,"cabecera_municipal",2259
"05","Antioquia","Heliconia","05347",2014,"centros_poblados_y_rural_disperso",3451
"05","Antioquia","Heliconia","05347",2014,"total",5710
"05","Antioquia","Hispania","05353",2014,"cabecera_municipal",3212
"05","Antioquia","Hispania","05353",2014,"centros_poblados_y_rural_disperso",2162
"05","Antioquia","Hispania","05353",2014,"total",5374
"05","Antioquia","Itagüí","05360",2014,"cabecera_municipal",232568
"05","Antioquia","Itagüí","05360",2014,"centros_poblados_y_rural_disperso",25410
"05","Antioquia","Itagüí","05360",2014,"total",257978
"05","Antioquia","Ituango","05361",2014,"cabecera_municipal",6708
"05","Antioquia","Ituango","05361",2014,"centros_poblados_y_rural_disperso",19725
"05","Antioquia","Ituango","05361",2014,"total",26433
"05","Antioquia","Jardín","05364",2014,"cabecera_municipal",7386
"05","Antioquia","Jardín","05364",2014,"centros_poblados_y_rural_disperso",6801
"05","Antioquia","Jardín","05364",2014,"total",14187
"05","Antioquia","Jericó","05368",2014,"cabecera_municipal",7448
"05","Antioquia","Jericó","05368",2014,"centros_poblados_y_rural_disperso",6335
"05","Antioquia","Jericó","05368",2014,"total",13783
"05","Antioquia","La Ceja","05376",2014,"cabecera_municipal",50133
"05","Antioquia","La Ceja","05376",2014,"centros_poblados_y_rural_disperso",9885
"05","Antioquia","La Ceja","05376",2014,"total",60018
"05","Antioquia","La Estrella","05380",2014,"cabecera_municipal",55084
"05","Antioquia","La Estrella","05380",2014,"centros_poblados_y_rural_disperso",10951
"05","Antioquia","La Estrella","05380",2014,"total",66035
"05","Antioquia","La Pintada","05390",2014,"cabecera_municipal",6781
"05","Antioquia","La Pintada","05390",2014,"centros_poblados_y_rural_disperso",1848
